,movie,chapter,character,dialog,gender,releaseYear
22,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,I can try.,male,2009
23,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,"Oh, Severus, please, if you would... I would be forever in your debt.",female,2009
24,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,Swear to it.,female,2009
25,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,Make the Unbreakable Vow. You see.  It's just empty words. Oh he'll try.  He'll give it his best effort.  But when it matters most he'll slither back into his hole.  Bloody coward...,female,2009
26,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,Take out your wand.,male,2009
27,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,"Will you, Severus Snape, watch over Draco Malfoy as he attempts to fulfill the Dark Lord's wishes.",female,2009
28,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,I will.,male,2009
29,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,"And will you, to the best of your ability, protect him from harm?",female,2009
30,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,I will.,male,2009
31,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,"And should it prove necessary, if it seems Draco will fail... will you yourself carry out the deed that the Dark Lord has ordered Draco to perform?",female,2009
32,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,I will.,male,2009
33,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,Harry Potter.  Who's Harry Potter?,female,2009
34,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,harry potter,Oh.  Um.  No one.  Bit of a tosser.,male,2009
35,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,"Funny that paper of yours.  Couple nights ago, I could swear I saw one of the pictures move.",female,2009
36,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,harry potter,Really.,male,2009
37,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,Thought I'd gone round the twist.,female,2009
38,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,harry potter,Hey.  I was wondering...,male,2009
39,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,Eleven.  That's when I get off.,female,2009
40,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,I once knew a Muggle girl from Liverpool with hair like spun silk.  No light could resist it...,male,2009
41,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,I like riding round on the trains. It takes my mind off... things.,male,2009
42,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"Rather unpleasant to behold, isn't it?  The tale is thrilling if I do say so myself, but I'm afraid now is not the time to tell it.  Take my arm.",male,2009
43,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,"I just Apparated, didn't I?",male,2009
44,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,Indeed.  And quite successfully I might add.  Most people vomit their first time.,male,2009
45,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,Can't imagine why...,male,2009
46,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"Welcome to the charming village of Budleigh Babberton, Harry.  I assume right about now you're wondering why I've brought you here, am I right?",male,2009
47,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,"After all these years, I just sort of roll with it, sir.",male,2009
48,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"Wand out, Harry.",male,2009
49,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,Lumos...,male,2009
50,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,Horace!,male,2009
51,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace horace slughorn,Merlin's Beard!,male,2009
52,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,"There's no need to disfigure me, Albus!",male,2009
53,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"I must say, you make a very convincing armchair, Horace.",male,2009
54,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,It's all in the upholstery. I come by the stuffing naturally. What gave me away?,male,2009
55,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,Dragon's blood.,male,2009
56,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,"Yes, well, I couldn't very well use wizard's blood, could I?  Oho!",male,2009
57,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"Ah yes.  Introductions.  Harry, this is an old friend and colleague of mine, Horace Slughorn.  Horace, this is, well, you know who this is. Apparently there's some thought he may be the Chosen One.",male,2009
58,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"So why all the theatrics, Horace? You weren't perhaps expecting someone else, were you?",male,2009
59,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,S-someone else?  I'm sure I don't know what you mean.,male,2009
60,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,Oh all right!  The Death Eaters have been trying to recruit me for over a year.  Do you know what that's like?  One can only say no to these people so many times before they...,male,2009
61,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,Take matters into their own hands?,male,2009
62,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,I never stay anywhere more than a week.  The Muggles who own this place are in the Canary Islands.,male,2009
63,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"Well, I think it should be put back in order for them, don't you? Mind?",male,2009
64,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,That was fun.  May I use the loo?,male,2009
65,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,"Don't think I don't know why you're here, Albus!  The answer is still no!  Absolutely, unequivocally no!",male,2009
66,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,You look very like your father. Except for your eyes.  You've got --,male,2009
67,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,"My mother's eyes, yeah.",male,2009
68,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,Lily.  Lovely Lily.  She was exceedingly bright -- your mother. Even more impressive when one considers she was Muggle-born.,male,2009
69,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,One of my best friends is Muggle- born.  She's the best in our year.,male,2009
70,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,"Oh, but you mustn't think I'm prejudiced!  No, no, no! Your mother was one of my absolute favorites!  Look, there she is. Right up front.",male,2009
71,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,"All mine, each and every one.  Ex- students, I mean.  You recognize Barnubas Cuffe, of course, editor of the Daily Prophet.",male,2009
72,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,"Always takes my owl should I want to register my opinion on the news of the day.  And there's Ambrosius Flume of Honeydukes.  Sends a hamper of chocolate to the house each birthday.  That is, when I had a house.  And Gwenog Jones, captain of the Holyhead Harpies -- free tickets whenever I want them. Of course, I haven't been to a match in some time...",male,2009
73,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,"Ah yes.  Regulus Black.  You no doubt know of his older brother Sirius.  Died a few weeks ago.  I taught the whole Black family except Sirius.  Shame.  Talented boy.  I got Regulus when he came along, of course, but I'd have liked the set.",male,2009
74,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,Mind if I take this?  I do love knitting patterns.,male,2009
75,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,Of course.  But you're not leaving?,male,2009
76,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"I think I know a lost cause when I see one.  Regrettable.  I would have considered it a personal triumph had you consented to return to Hogwarts, Horace.  You are, like my friend Mr. Potter -- one of a kind.",male,2009
77,Harry Potter and the Half-Blood Prince,Horace Slughorn,horace slughorn,"All right!  I'll do it.  But I'll be wanting Professor Merrythought's old office, not that water closet I had formerly. And I expect a raise!  These are mad times we live in!  Mad!",male,2009
78,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,Indeed they are.,male,2009
79,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,"Sir, exactly what was that all --",male,2009
80,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"You are talented, famous and powerful -- everything Horace values.  Professor Slughorn is going to try to collect you, Harry.  You would be his crowning jewel.  That is why he is returning to Hogwarts.  And it is crucial he return...",male,2009
81,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"I fear I may have stolen a wondrous night from you, Harry. She was, truthfully, very pretty. The girl.",male,2009
82,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,"It's alright, sir.  I'll go back tomorrow, make some excuse --",male,2009
83,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,"You'll not be going back to Little Whinging tonight, Harry.",male,2009
84,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,"But, sir.  What about Hedwig?  And there's my trunk --",male,2009
85,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,Both are waiting for you.,male,2009
86,Harry Potter and the Half-Blood Prince,Horace Slughorn,harry potter,Sir?,male,2009
87,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,Hedwig...?  Mum!,female,2009
88,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,Exactly.  How'd you guess?,female,2009
89,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,"I'm joking, Mum.",female,2009
90,Harry Potter and the Half-Blood Prince,What Could Be Safer?,molly weasley,You're worse than Fred and George.,female,2009
91,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,Now you're joking.  I was only wondering when Harry got here.,female,2009
92,Harry Potter and the Half-Blood Prince,What Could Be Safer?,molly weasley,Harry who?,female,2009
93,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,"Harry Dimpleton.  Harry Potter, of course.",female,2009
94,Harry Potter and the Half-Blood Prince,What Could Be Safer?,molly weasley,"I think I'd know if Harry Potter was in my house, wouldn't I?",female,2009
95,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,Well his trunk's in the kitchen. And his owl.,female,2009
96,Harry Potter and the Half-Blood Prince,What Could Be Safer?,molly weasley,I seriously doubt that.,female,2009
97,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,Harry?  Did someone say Harry?,male,2009
98,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,"Me, nosy.  Is he up there with you?",female,2009
99,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,"'Course not.  Think I'd know if my best friend was in my room, wouldn't I?",male,2009
100,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,Was that an owl I heard?,female,2009
101,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,"Harry's.  Haven't seen him, have you?  Apparently, he's wandering about the house.",female,2009
102,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,Really?,female,2009
103,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,Really.,male,2009
104,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,Harry!,male,2009
105,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,Harry!,female,2009
106,Harry Potter and the Half-Blood Prince,What Could Be Safer?,molly weasley,But why didn't you tell us you were coming?,female,2009
107,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,Didn't know. Dumbledore.,male,2009
108,Harry Potter and the Half-Blood Prince,What Could Be Safer?,molly weasley,"That man.  But then, what would we do without him?  Ron!",female,2009
109,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,You've a bit of...,male,2009
110,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,When'd you get here?,male,2009
111,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,"A few days ago.  Though... for a bit, I wasn't sure I was coming.",female,2009
112,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,Mum sort of lost it last week. Said Ginny and I had no business going back to Hogwarts.  That it's too dangerous.,male,2009
113,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,Oh come on...,male,2009
114,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,She's not alone.  Even my parents -- and they're Muggles -- know something bad is happening.,female,2009
115,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,"Anyway, Dad stepped in, told her she was being barmy.  Took a day or two, but she came round.",male,2009
116,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,But we're talking about Hogwarts. Dumbledore. What could be safer?,male,2009
117,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,There's been a lot of chatter lately.  That he's gotten... old.,female,2009
118,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,Rubbish.  He's only -- what?,male,2009
119,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,A hundred and fifty.  Give or take a few years.,male,2009
120,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,Step up!  Step up!,male,2009
121,Harry Potter and the Half-Blood Prince,What Could Be Safer?,george weasley,Step up!  Step up!,male,2009
122,Harry Potter and the Half-Blood Prince,What Could Be Safer?,george weasley,We've got Fainting Fancy...,male,2009
123,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,Nosebleed Nougats...,male,2009
124,Harry Potter and the Half-Blood Prince,What Could Be Safer?,george weasley,And just in time for school...,male,2009
125,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,Puking Pastilles!,male,2009
126,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,"Into the cauldron, handsome.",male,2009
127,Harry Potter and the Half-Blood Prince,What Could Be Safer?,george weasley,"Into the cauldron, handsome.",male,2009
128,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,"What'd you think, Harry?",male,2009
129,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,Amazing.,male,2009
130,Harry Potter and the Half-Blood Prince,What Could Be Safer?,george weasley,"Pocket that and you'll pay in more than Galleons, my friend.",male,2009
131,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,We've got eyes in the back of our heads.,male,2009
132,Harry Potter and the Half-Blood Prince,What Could Be Safer?,george weasley,Bloody urchins.,male,2009
133,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,Peruvian Instant Darkness Powder?,male,2009
134,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,A real money spinner that.,male,2009
135,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,"Handy if you need to make a quick escape.  Hello, ladies!",male,2009
136,Harry Potter and the Half-Blood Prince,What Could Be Safer?,george weasley,"Yes, they do really work.",male,2009
137,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,"Then again, the way we hear it, sis, you're doing just fine on your own.",male,2009
138,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,Meaning?,female,2009
139,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,Are you not currently dating Dean Thomas?,male,2009
140,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,None of your business.,female,2009
141,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,These are adorable.,female,2009
142,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,Aren't they now.  Pygmy Puffs. Can't breed them fast enough.,male,2009
143,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,How much for this?,male,2009
144,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,Five Galleons.,male,2009
145,Harry Potter and the Half-Blood Prince,What Could Be Safer?,george weasley,Five Galleons.,male,2009
146,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,How much for me?,male,2009
147,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,Five Galleons.,male,2009
148,Harry Potter and the Half-Blood Prince,What Could Be Safer?,george weasley,Five Galleons.,male,2009
149,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,But I'm your brother!,male,2009
150,Harry Potter and the Half-Blood Prince,What Could Be Safer?,fred weasley,Ten Galleons.,male,2009
151,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,C'mon. Let's go.,male,2009
152,Harry Potter and the Half-Blood Prince,What Could Be Safer?,lavender brown,"Hi, Ron.",female,2009
153,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,Hi.,male,2009
154,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,How is it Fred and George are doing it?  Half the alley's closed down.,female,2009
155,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,Fred reckons people need a laugh these days.,male,2009
156,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,Reckon he's right...,male,2009
157,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,Oh no.  Look.,female,2009
158,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,But everyone got their wands from Ollivander.  Young.  Old...,female,2009
159,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,Good.  Bad.  Speaking of which...,male,2009
160,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,Is it just me?  Or do Draco and mummy look like two people who don't want to be followed?,male,2009
161,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,What're they playing at?,male,2009
162,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,Dunno.  Let's get closer.,male,2009
163,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,Hey.  Where's Hermione?,male,2009
164,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,"Harry, where is she?",male,2009
165,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,I don't know.  I'm turned around.,male,2009
166,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,Bloody hell.,male,2009
167,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,Sorry.,female,2009
168,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,What just happened?,male,2009
169,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,I don't know.,female,2009
170,Harry Potter and the Half-Blood Prince,What Could Be Safer?,luna lovegood,Quibbler...?  Quibbler...?,female,2009
171,Harry Potter and the Half-Blood Prince,What Could Be Safer?,luna lovegood,There's an article on Wrackspurts this month.  Quibbler...?,female,2009
172,Harry Potter and the Half-Blood Prince,What Could Be Safer?,luna lovegood,"He's lovely.  They've been known to sing on Boxing Day, you know. Quibbler?",female,2009
173,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ginny weasley,Please.  What's a Wrackspurt?,female,2009
174,Harry Potter and the Half-Blood Prince,What Could Be Safer?,luna lovegood,They're invisible creatures that float in through your ears and make your brain go fuzzy. Quibbler?  Quibbler?,female,2009
175,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,"Don't you see, it was a ceremony. An initiation.",male,2009
176,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,"Stop, Harry, I know where you're going with this --",female,2009
177,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,It's happened.  He's one of them.,male,2009
178,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,One of what?,male,2009
179,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,Harry is under the impression that Draco Malfoy is now a Death Eater.,female,2009
180,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,You're barking.  What would You- Know-Who want with a sod like Malfoy?,male,2009
181,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,So what's he doing in Borgin and Burke's?  Browsing for furniture?,male,2009
182,Harry Potter and the Half-Blood Prince,What Could Be Safer?,ron weasley,It's a creepy shop.  He's a creepy bloke.,male,2009
183,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,"Look.  His father's a Death Eater. It only makes sense.  Besides, Hermione saw it.  With her own eyes.",male,2009
184,Harry Potter and the Half-Blood Prince,What Could Be Safer?,hermione granger,I told you.  I don't know what I saw.,female,2009
185,Harry Potter and the Half-Blood Prince,What Could Be Safer?,harry potter,I need some air.,male,2009
186,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,What just happened?  Blaise?,male,2009
187,Harry Potter and the Half-Blood Prince,That's For My Father,blaise zabini,Don't know.,male,2009
188,Harry Potter and the Half-Blood Prince,That's For My Father,pansy parkinson,"Relax, boys.  The lights went out is all.  Come, Draco.  We'll be at Hogwarts before you know it.",female,2009
189,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,Hogwarts.  What a pathetic excuse for a school.  I think I'd pitch myself off the Astronomy Tower if I thought I had to continue on for another two years.,male,2009
190,Harry Potter and the Half-Blood Prince,That's For My Father,pansy parkinson,What's that supposed to mean?,female,2009
191,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,Let's just say I don't think you'll be seeing me wasting my time in Charms Class next year.,male,2009
192,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,"Amused, Blaise?  We'll see just who's laughing in the end.",male,2009
193,Harry Potter and the Half-Blood Prince,That's For My Father,hermione granger,Where's Harry?,female,2009
194,Harry Potter and the Half-Blood Prince,That's For My Father,ron weasley,Probably on the platform.  C'mon.,male,2009
195,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,You two go on.  I want to check something.,male,2009
196,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,"Didn't mummy ever tell you it's bad manners to eavesdrop, Potter? Petrificus Totalus!",male,2009
197,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,"Oh, right, she was dead before you could wipe the drool off your chin.",male,2009
198,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,Enjoy the ride back to London.,male,2009
199,Harry Potter and the Half-Blood Prince,That's For My Father,luna lovegood,"Hello, Harry.",female,2009
200,Harry Potter and the Half-Blood Prince,That's For My Father,harry potter,Luna.  How'd you...?,male,2009
201,Harry Potter and the Half-Blood Prince,That's For My Father,luna lovegood,Wrackspurts. Your head's full of them.,female,2009
202,Harry Potter and the Half-Blood Prince,That's For My Father,harry potter,"Sorry I made you miss the carriages, Luna.",male,2009
203,Harry Potter and the Half-Blood Prince,That's For My Father,luna lovegood,It's alright.  I enjoyed our walk. It was like being with a friend.,female,2009
204,Harry Potter and the Half-Blood Prince,That's For My Father,harry potter,"I am your friend, Luna.",male,2009
205,Harry Potter and the Half-Blood Prince,That's For My Father,luna lovegood,That's nice.,female,2009
206,Harry Potter and the Half-Blood Prince,That's For My Father,filius flitwick,About time!  I've been looking all over for you two.  Names.,male,2009
207,Harry Potter and the Half-Blood Prince,That's For My Father,harry potter,"Professor Flitwick, you've known me for five years.",male,2009
208,Harry Potter and the Half-Blood Prince,That's For My Father,filius flitwick,"No exceptions, Potter.",male,2009
209,Harry Potter and the Half-Blood Prince,That's For My Father,luna lovegood,Who are those people?,female,2009
210,Harry Potter and the Half-Blood Prince,That's For My Father,filius flitwick,Aurors. For security.,male,2009
211,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,"It's a not a cane, you cretin. It's a walking stick.",male,2009
212,Harry Potter and the Half-Blood Prince,That's For My Father,argus filch,And what exactly would you be wanting with a walking stick?,male,2009
213,Harry Potter and the Half-Blood Prince,That's For My Father,severus snape,It was his father's.,male,2009
214,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,Is my father's.  He's not dead.,male,2009
215,Harry Potter and the Half-Blood Prince,That's For My Father,severus snape,"It's alright, Mr. Filch.  I can vouch for Mr. Malfoy.",male,2009
216,Harry Potter and the Half-Blood Prince,That's For My Father,draco malfoy,"Nice face, Potter.",male,2009
217,Harry Potter and the Half-Blood Prince,That's For My Father,luna lovegood,Would you like me to fix it? Personally I think you look a bit more devil-may-care this way.  But it's up to you.,female,2009
218,Harry Potter and the Half-Blood Prince,That's For My Father,harry potter,Have you ever fixed one?  A nose.,male,2009
219,Harry Potter and the Half-Blood Prince,That's For My Father,luna lovegood,No.  But I've done several toes and how different are they really?,female,2009
220,Harry Potter and the Half-Blood Prince,That's For My Father,harry potter,What the hell.  Give it a go.,male,2009
221,Harry Potter and the Half-Blood Prince,That's For My Father,luna lovegood,Episkey.,female,2009
222,Harry Potter and the Half-Blood Prince,That's For My Father,harry potter,Well?  How do I look?,male,2009
223,Harry Potter and the Half-Blood Prince,That's For My Father,luna lovegood,Exceptionally ordinary.,female,2009
224,Harry Potter and the Half-Blood Prince,That's For My Father,harry potter,Brilliant.,male,2009
225,Harry Potter and the Half-Blood Prince,Dark Forces,ron weasley,Don' you worry.  He'll be 'long soon 'nuff --,male,2009
226,Harry Potter and the Half-Blood Prince,Dark Forces,hermione granger,Will.  You.  Stop.  Eating!  Your best friend is missing!,female,2009
227,Harry Potter and the Half-Blood Prince,Dark Forces,ron weasley,"Oi!  Turn around, you lunatic.",male,2009
